Problem ID,Problem Name,Acceptance Rate,Difficulty
311,Sparse Matrix Multiplication,68.1,Medium
312,Burst Balloons,58.9,Hard
313,Super Ugly Number,45.2,Medium
314,Binary Tree Vertical Order Traversal,54.5,Medium
315,Count of Smaller Numbers After Self,42.4,Hard
316,Remove Duplicate Letters,49.7,Medium
317,Shortest Distance from All Buildings,43.2,Hard
318,Maximum Product of Word Lengths,60.0,Medium
319,Bulb Switcher,52.8,Medium
320,Generalized Abbreviation,58.4,Medium
321,Create Maximum Number,30.2,Hard
322,Coin Change,44.0,Medium
323,Number of Connected Components in an Undirected Graph,62.8,Medium
324,Wiggle Sort II,34.4,Medium
325,Maximum Size Subarray Sum Equals k,49.5,Medium
326,Power of Three,46.6,Easy
327,Count of Range Sum,35.9,Hard
328,Odd Even Linked List,61.4,Medium
329,Longest Increasing Path in a Matrix,53.7,Hard
330,Patching Array,41.9,Hard
331,Verify Preorder Serialization of a Binary Tree,45.2,Medium
332,Reconstruct Itinerary,43.2,Hard
333,Largest BST Subtree,43.9,Medium
334,Increasing Triplet Subsequence,39.8,Medium
335,Self Crossing,30.5,Hard
336,Palindrome Pairs,35.4,Hard
337,House Robber III,54.3,Medium
338,Counting Bits,78.3,Easy
339,Nested List Weight Sum,83.7,Medium
340,Longest Substring with At Most K Distinct Characters,48.8,Medium
341,Flatten Nested List Iterator,64.5,Medium
342,Power of Four,48.0,Easy
343,Integer Break,60.4,Medium
344,Reverse String,77.9,Easy
345,Reverse Vowels of a String,53.2,Easy
346,Moving Average from Data Stream,78.4,Easy
347,Top K Frequent Elements,62.8,Medium
348,Design Tic-Tac-Toe,58.0,Medium
349,Intersection of Two Arrays,74.5,Easy
350,Intersection of Two Arrays II,56.5,Easy
351,Android Unlock Patterns,51.8,Medium
352,Data Stream as Disjoint Intervals,60.0,Hard
353,Design Snake Game,38.8,Medium
354,Russian Doll Envelopes,37.1,Hard
355,Design Twitter,39.5,Medium
356,Line Reflection,35.6,Medium
357,Count Numbers with Unique Digits,53.0,Medium
358,Rearrange String k Distance Apart,38.7,Hard
359,Logger Rate Limiter,75.9,Easy
360,Sort Transformed Array,55.8,Medium
361,Bomb Enemy,51.8,Medium
362,Design Hit Counter,68.7,Medium
363,Max Sum of Rectangle No Larger Than K,44.1,Hard
364,Nested List Weight Sum II,65.1,Medium
365,Water and Jug Problem,40.6,Medium
366,Find Leaves of Binary Tree,80.6,Medium
367,Valid Perfect Square,43.6,Easy
368,Largest Divisible Subset,45.3,Medium
369,Plus One Linked List,61.0,Medium
370,Range Addition,71.6,Medium
371,Sum of Two Integers,51.9,Medium
372,Super Pow,35.2,Medium
373,Find K Pairs with Smallest Sums,40.0,Medium
374,Guess Number Higher or Lower,53.6,Easy
375,Guess Number Higher or Lower II,49.0,Medium
376,Wiggle Subsequence,48.5,Medium
377,Combination Sum IV,54.2,Medium
378,Kth Smallest Element in a Sorted Matrix,62.5,Medium
379,Design Phone Directory,51.7,Medium
380,Insert Delete GetRandom O(1),54.4,Medium
381,Insert Delete GetRandom O(1) - Duplicates allowed,35.5,Hard
382,Linked List Random Node,63.2,Medium
383,Ransom Note,61.5,Easy
384,Shuffle an Array,58.3,Medium
385,Mini Parser,38.2,Medium
386,Lexicographical Numbers,64.0,Medium
387,First Unique Character in a String,62.2,Easy
388,Longest Absolute File Path,47.4,Medium
389,Find the Difference,59.7,Easy
390,Elimination Game,45.7,Medium
391,Perfect Rectangle,33.7,Hard
392,Is Subsequence,48.0,Easy
393,UTF-8 Validation,45.2,Medium
394,Decode String,59.2,Medium
395,Longest Substring with At Least K Repeating Characters,45.0,Medium
396,Rotate Function,42.6,Medium
397,Integer Replacement,35.7,Medium
398,Random Pick Index,63.4,Medium
399,Evaluate Division,61.7,Medium
400,Nth Digit,34.8,Medium
401,Binary Watch,54.5,Easy
402,Remove K Digits,33.6,Medium
403,Frog Jump,46.1,Hard
404,Sum of Left Leaves,60.6,Easy
405,Convert a Number to Hexadecimal,48.5,Easy
406,Queue Reconstruction by Height,73.5,Medium
407,Trapping Rain Water II,47.9,Hard
408,Valid Word Abbreviation,35.8,Easy
409,Longest Palindrome,53.9,Easy
410,Split Array Largest Sum,55.4,Hard
411,Minimum Unique Word Abbreviation,39.7,Hard
412,Fizz Buzz,72.2,Easy
413,Arithmetic Slices,65.0,Medium
414,Third Maximum Number,35.0,Easy
415,Add Strings,51.7,Easy
416,Partition Equal Subset Sum,46.3,Medium
417,Pacific Atlantic Water Flow,55.3,Medium
418,Sentence Screen Fitting,36.2,Medium
419,Battleships in a Board,75.4,Medium
420,Strong Password Checker,13.7,Hard
421,Maximum XOR of Two Numbers in an Array,53.2,Medium
422,Valid Word Square,41.1,Easy
423,Reconstruct Original Digits from English,51.1,Medium
424,Longest Repeating Character Replacement,54.0,Medium
425,Word Squares,53.4,Hard
426,Convert Binary Search Tree to Sorted Doubly Linked List,64.8,Medium
427,Construct Quad Tree,75.4,Medium
428,Serialize and Deserialize N-ary Tree,67.1,Hard
429,N-ary Tree Level Order Traversal,70.8,Medium
430,Flatten a Multilevel Doubly Linked List,60.1,Medium
431,Encode N-ary Tree to Binary Tree,79.5,Hard
432,All O`one Data Structure,36.8,Hard
433,Minimum Genetic Mutation,53.8,Medium
434,Number of Segments in a String,36.3,Easy
435,Non-overlapping Intervals,53.3,Medium
436,Find Right Interval,52.1,Medium
437,Path Sum III,46.3,Medium
438,Find All Anagrams in a String,50.9,Medium
439,Ternary Expression Parser,60.8,Medium
440,K-th Smallest in Lexicographical Order,32.3,Hard
441,Arranging Coins,46.6,Easy
442,Find All Duplicates in an Array,75.7,Medium
443,String Compression,54.5,Medium
444,Sequence Reconstruction,28.2,Medium
445,Add Two Numbers II,61.2,Medium
446,Arithmetic Slices II - Subsequence,54.6,Hard
447,Number of Boomerangs,55.5,Medium
448,Find All Numbers Disappeared in an Array,61.0,Easy
449,Serialize and Deserialize BST,57.7,Medium
450,Delete Node in a BST,51.3,Medium
451,Sort Characters By Frequency,72.6,Medium
452,Minimum Number of Arrows to Burst Balloons,59.0,Medium
453,Minimum Moves to Equal Array Elements,56.7,Medium
454,4Sum II,57.3,Medium
455,Assign Cookies,52.6,Easy
456,132 Pattern,33.8,Medium
457,Circular Array Loop,34.1,Medium
458,Poor Pigs,59.7,Hard
459,Repeated Substring Pattern,46.1,Easy
460,LFU Cache,44.2,Hard
461,Hamming Distance,75.4,Easy
462,Minimum Moves to Equal Array Elements II,60.1,Medium
463,Island Perimeter,72.6,Easy
464,Can I Win,29.7,Medium
465,Optimal Account Balancing,49.5,Hard
466,Count The Repetitions,30.2,Hard
467,Unique Substrings in Wraparound String,39.7,Medium
468,Validate IP Address,27.0,Medium
469,Convex Polygon,39.4,Medium
470,Implement Rand10() Using Rand7(),45.9,Medium
471,Encode String with Shortest Length,50.4,Hard
472,Concatenated Words,49.4,Hard
473,Matchsticks to Square,40.3,Medium
474,Ones and Zeroes,47.6,Medium
475,Heaters,37.9,Medium
476,Number Complement,67.7,Easy
477,Total Hamming Distance,52.7,Medium
478,Generate Random Point in a Circle,39.8,Medium
479,Largest Palindrome Product,33.3,Hard
480,Sliding Window Median,39.1,Hard
481,Magical String,51.3,Medium
482,License Key Formatting,43.8,Easy
483,Smallest Good Base,40.7,Hard
484,Find Permutation,66.9,Medium
485,Max Consecutive Ones,59.2,Easy
486,Predict the Winner,55.4,Medium
487,Max Consecutive Ones II,50.4,Medium
488,Zuma Game,32.7,Hard
489,Robot Room Cleaner,76.7,Hard
490,The Maze,57.9,Medium
491,Non-decreasing Subsequences,60.7,Medium
492,Construct the Rectangle,57.7,Easy
493,Reverse Pairs,30.6,Hard
494,Target Sum,46.9,Medium
495,Teemo Attacking,56.6,Easy
496,Next Greater Element I,72.2,Easy
497,Random Point in Non-overlapping Rectangles,40.0,Medium
498,Diagonal Traverse,60.3,Medium
499,The Maze III,48.8,Hard
500,Keyboard Row,70.7,Easy
501,Find Mode in Binary Search Tree,56.1,Easy
502,IPO,49.5,Hard
503,Next Greater Element II,63.9,Medium
504,Base 7,50.1,Easy
505,The Maze II,53.4,Medium
506,Relative Ranks,71.6,Easy
507,Perfect Number,40.5,Easy
508,Most Frequent Subtree Sum,66.4,Medium
509,Fibonacci Number,71.1,Easy
510,Inorder Successor in BST II,60.9,Medium
511,Game Play Analysis I,74.7,Easy
512,Game Play Analysis II,52.8,Easy
513,Find Bottom Left Tree Value,71.2,Medium
514,Freedom Trail,59.0,Hard
515,Find Largest Value in Each Tree Row,65.7,Medium
516,Longest Palindromic Subsequence,62.6,Medium
517,Super Washing Machines,41.2,Hard
518,Coin Change II,63.9,Medium
519,Random Flip Matrix,41.9,Medium
520,Detect Capital,56.4,Easy
521,Longest Uncommon Subsequence I,60.7,Easy
522,Longest Uncommon Subsequence II,41.5,Medium
523,Continuous Subarray Sum,28.9,Medium
524,Longest Word in Dictionary through Deleting,51.2,Medium
525,Contiguous Array,48.9,Medium
526,Beautiful Arrangement,64.2,Medium
527,Word Abbreviation,61.0,Hard
528,Random Pick with Weight,46.9,Medium
529,Minesweeper,66.7,Medium
530,Minimum Absolute Difference in BST,58.3,Easy
531,Lonely Pixel I,62.3,Medium
532,K-diff Pairs in an Array,42.8,Medium
533,Lonely Pixel II,48.6,Medium
534,Game Play Analysis III,80.8,Medium
535,Encode and Decode TinyURL,86.4,Medium
536,Construct Binary Tree from String,56.9,Medium
537,Complex Number Multiplication,71.8,Medium
538,Convert BST to Greater Tree,69.0,Medium
539,Minimum Time Difference,56.8,Medium
540,Single Element in a Sorted Array,59.1,Medium
541,Reverse String II,50.7,Easy
542,01 Matrix,48.5,Medium
543,Diameter of Binary Tree,60.5,Easy
544,Output Contest Matches,77.2,Medium
545,Boundary of Binary Tree,45.5,Medium
546,Remove Boxes,47.8,Hard
547,Number of Provinces,66.2,Medium
548,Split Array with Equal Sum,50.1,Hard
549,Binary Tree Longest Consecutive Sequence II,49.5,Medium
550,Game Play Analysis IV,36.3,Medium
551,Student Attendance Record I,48.8,Easy
552,Student Attendance Record II,42.9,Hard
553,Optimal Division,60.7,Medium
554,Brick Wall,54.9,Medium
555,Split Concatenated Strings,43.4,Medium
556,Next Greater Element III,34.1,Medium
557,Reverse Words in a String III,83.1,Easy
558,Logical OR of Two Binary Grids Represented as Quad-Trees,49.6,Medium
559,Maximum Depth of N-ary Tree,72.2,Easy
560,Subarray Sum Equals K,43.6,Medium
561,Array Partition,78.9,Easy
562,Longest Line of Consecutive One in Matrix,50.4,Medium
563,Binary Tree Tilt,61.9,Easy
564,Find the Closest Palindrome,22.4,Hard
565,Array Nesting,56.3,Medium
566,Reshape the Matrix,63.1,Easy
567,Permutation in String,44.4,Medium
568,Maximum Vacation Days,45.6,Hard
569,Median Employee Salary,65.9,Hard
570,Managers with at Least 5 Direct Reports,50.3,Medium
571,Find Median Given Frequency of Numbers,42.4,Hard
572,Subtree of Another Tree,48.0,Easy
573,Squirrel Simulation,57.1,Medium
574,Winning Candidate,60.7,Medium
575,Distribute Candies,67.7,Easy
576,Out of Boundary Paths,48.1,Medium
577,Employee Bonus,75.1,Easy
578,Get Highest Answer Rate Question,40.3,Medium
579,Find Cumulative Salary of an Employee,46.9,Hard
580,Count Student Number in Departments,59.0,Medium
581,Shortest Unsorted Continuous Subarray,36.9,Medium
582,Kill Process,69.3,Medium
583,Delete Operation for Two Strings,61.6,Medium
584,Find Customer Referee,69.9,Easy
585,Investments in 2016,47.7,Medium
586,Customer Placing the Largest Number of Orders,64.8,Easy
587,Erect the Fence,51.9,Hard
588,Design In-Memory File System,48.1,Hard
589,N-ary Tree Preorder Traversal,75.5,Easy
590,N-ary Tree Postorder Traversal,77.9,Easy
591,Tag Validator,38.2,Hard
592,Fraction Addition and Subtraction,53.2,Medium
593,Valid Square,44.0,Medium
594,Longest Harmonious Subsequence,54.7,Easy
595,Big Countries,68.2,Easy
596,Classes More Than 5 Students,55.0,Easy
597,Friend Requests I: Overall Acceptance Rate,41.9,Easy
598,Range Addition II,56.1,Easy
599,Minimum Index Sum of Two Lists,55.5,Easy
600,Non-negative Integers without Consecutive Ones,39.8,Hard
601,Human Traffic of Stadium,48.6,Hard
602,Friend Requests II: Who Has the Most Friends,57.3,Medium
603,Consecutive Available Seats,66.1,Easy
604,Design Compressed String Iterator,39.8,Easy
605,Can Place Flowers,29.2,Easy
606,Construct String from Binary Tree,69.2,Medium
607,Sales Person,65.7,Easy
608,Tree Node,72.3,Medium
609,Find Duplicate File in System,67.6,Medium
610,Triangle Judgement,71.5,Easy
611,Valid Triangle Number,51.2,Medium
612,Shortest Distance in a Plane,61.4,Medium
613,Shortest Distance in a Line,80.2,Easy
614,Second Degree Follower,38.6,Medium
615,Average Salary: Departments VS Company,56.1,Hard
616,Add Bold Tag in String,49.8,Medium
617,Merge Two Binary Trees,78.9,Easy
618,Students Report By Geography,63.5,Hard
619,Biggest Single Number,62.8,Easy
620,Not Boring Movies,73.7,Easy
621,Task Scheduler,59.9,Medium
622,Design Circular Queue,51.4,Medium
623,Add One Row to Tree,64.0,Medium
624,Maximum Distance in Arrays,42.4,Medium
625,Minimum Factorization,33.6,Medium
626,Exchange Seats,69.7,Medium
627,Swap Salary,83.3,Easy
628,Maximum Product of Three Numbers,45.2,Easy
629,K Inverse Pairs Array,49.9,Hard
630,Course Schedule III,40.2,Hard
631,Design Excel Sum Formula,43.8,Hard
632,Smallest Range Covering Elements from K Lists,62.6,Hard
633,Sum of Square Numbers,33.9,Medium
634,Find the Derangement of An Array,41.9,Medium
635,Design Log Storage System,61.1,Medium
636,Exclusive Time of Functions,62.2,Medium
637,Average of Levels in Binary Tree,72.5,Easy
638,Shopping Offers,52.1,Medium
639,Decode Ways II,30.7,Hard
640,Solve the Equation,43.7,Medium
641,Design Circular Deque,56.9,Medium
642,Design Search Autocomplete System,48.9,Hard
643,Maximum Average Subarray I,43.3,Easy
644,Maximum Average Subarray II,36.7,Hard
645,Set Mismatch,44.5,Easy
646,Maximum Length of Pair Chain,59.9,Medium
647,Palindromic Substrings,70.2,Medium
648,Replace Words,62.9,Medium
649,Dota2 Senate,47.6,Medium
650,2 Keys Keyboard,54.1,Medium
651,4 Keys Keyboard,55.8,Medium
652,Find Duplicate Subtrees,59.4,Medium
653,Two Sum IV - Input is a BST,61.2,Easy
654,Maximum Binary Tree,85.3,Medium
655,Print Binary Tree,63.7,Medium
656,Coin Path,32.1,Hard
657,Robot Return to Origin,75.7,Easy
658,Find K Closest Elements,47.4,Medium
659,Split Array into Consecutive Subsequences,51.1,Medium
660,Remove 9,57.4,Hard
661,Image Smoother,67.3,Easy
662,Maximum Width of Binary Tree,43.0,Medium
663,Equal Tree Partition,41.5,Medium
664,Strange Printer,55.0,Hard
665,Non-decreasing Array,24.7,Medium
666,Path Sum IV,61.2,Medium
667,Beautiful Arrangement II,60.2,Medium
668,Kth Smallest Number in Multiplication Table,51.7,Hard
669,Trim a Binary Search Tree,66.3,Medium
670,Maximum Swap,48.7,Medium
671,Second Minimum Node In a Binary Tree,44.5,Easy
672,Bulb Switcher II,50.1,Medium
673,Number of Longest Increasing Subsequence,48.0,Medium
674,Longest Continuous Increasing Subsequence,50.2,Easy
675,Cut Off Trees for Golf Event,34.4,Hard
